Precision,Recall,Threshold,Model
0.0541,1.0,0.0007,GradientBoosting
0.0544,1.0,0.0007,GradientBoosting
0.0549,1.0,0.0007,GradientBoosting
0.0552,1.0,0.0007,GradientBoosting
0.0568,1.0,0.0007,GradientBoosting
0.057,1.0,0.0007,GradientBoosting
0.0571,1.0,0.0008,GradientBoosting
0.0573,1.0,0.0008,GradientBoosting
0.0578,1.0,0.0008,GradientBoosting
0.0579,1.0,0.0008,GradientBoosting
0.0582,1.0,0.0008,GradientBoosting
0.0583,1.0,0.0008,GradientBoosting
0.0585,1.0,0.0008,GradientBoosting
0.0587,1.0,0.0008,GradientBoosting
0.0588,1.0,0.0008,GradientBoosting
0.059,1.0,0.0008,GradientBoosting
0.0592,1.0,0.0008,GradientBoosting
0.0593,1.0,0.0008,GradientBoosting
0.0595,1.0,0.0009,GradientBoosting
0.0597,1.0,0.0009,GradientBoosting
0.0598,1.0,0.0009,GradientBoosting
0.0601,1.0,0.0009,GradientBoosting
0.0603,1.0,0.0009,GradientBoosting
0.0605,1.0,0.0009,GradientBoosting
0.061,1.0,0.0009,GradientBoosting
0.0612,1.0,0.0009,GradientBoosting
0.0621,1.0,0.0009,GradientBoosting
0.063,1.0,0.0009,GradientBoosting
0.0635,1.0,0.0009,GradientBoosting
0.0647,1.0,0.001,GradientBoosting
0.0655,1.0,0.001,GradientBoosting
0.0658,1.0,0.001,GradientBoosting
0.0661,1.0,0.001,GradientBoosting
0.0669,1.0,0.001,GradientBoosting
0.0671,1.0,0.001,GradientBoosting
0.0675,1.0,0.001,GradientBoosting
0.0685,1.0,0.001,GradientBoosting
0.0747,1.0,0.001,GradientBoosting
0.0758,1.0,0.001,GradientBoosting
0.0997,1.0,0.001,GradientBoosting
0.1005,1.0,0.001,GradientBoosting
0.101,1.0,0.001,GradientBoosting
0.1015,1.0,0.001,GradientBoosting
0.1021,1.0,0.001,GradientBoosting
0.1035,1.0,0.001,GradientBoosting
0.1046,1.0,0.001,GradientBoosting
0.1054,1.0,0.001,GradientBoosting
0.1268,1.0,0.001,GradientBoosting
0.1281,1.0,0.001,GradientBoosting
0.1297,1.0,0.0011,GradientBoosting
0.1311,1.0,0.0011,GradientBoosting
0.1325,1.0,0.0011,GradientBoosting
0.1336,1.0,0.0011,GradientBoosting
0.1354,1.0,0.0011,GradientBoosting
0.1375,1.0,0.0011,GradientBoosting
0.1393,1.0,0.0011,GradientBoosting
0.1429,1.0,0.0011,GradientBoosting
0.1445,1.0,0.0011,GradientBoosting
0.1466,1.0,0.0012,GradientBoosting
0.1476,1.0,0.0012,GradientBoosting
0.149,1.0,0.0012,GradientBoosting
